"","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","p_0001","v_113","v_114","meduse_1","meduse_2","meduse_3","medtime_1","medtime_2","medtime_3","medcondsoz_1","medcondsoz_2","medcondsoz_3","medcondsoz_4","medcondsoz_5","medcondsoz_6","medcondsoz_7","medcondsoz_8","medcondsoz_9","medcondsoz_10","v_48","medcondsoz_11","med_act","finan1","finan2","finan3","trust1","trust2","trust3","trust4","trust5","tsec1","tsec2","tsec3","tfree1","tfree2","tfree3","ssec1","ssec2","ssec3","sfree1","sfree2","sfree3","att","man_finance","man_finance_ctrl","man_eff","man_eff_ctrl","man_acc1","man_acc2","narrative_1","narrative_2","narrative_3","narrative_4","narrative_5","narrative_6","narrative_7","narrative_8","man_check1","man_check2","v_126","v_127","heiz1","heiz2","heiz3","heiz4","heiz5","heiz6","heiz7","heiz8","heiz9","heiz10","v_109","pol","v_7","SES","gender","age","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","quota_rejected_id","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","date_of_last_access","date_of_first_mail","rts7164300","rts7164302","rts7164304","rts7164305","rts7164306","rts7164307","rts7164308","rts7164309","rts7164310","rts7164312","rts7164313","rts7164314","rts7164315","rts7164316","rts7164317","rts7164318","rts7164319","rts7164320","rts7164321","rts7164322","rnd_pg_7164311_1","rnd_pg_7164311_2","rnd_pg_7164311_3","rnd_pg_7164311_4","rnd_pg_7164311_5","rnd_pg_7164311_6","rnd_pg_7164311_7","rnd_pg_7164311_8"
"13",22,0,0,31,7101365,NA,106,1,NA,0,1,5,5,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,NA,2,NA,2,4,2,2,2,5,2,3,2,3,2,3,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,4,NA,2,1,11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:127.0) Gecko/20100101 Firefox/127.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113507,7113514,7113511,7113516,7113513,7113508,7113515,7113510,7113517,7113518,7101522,7101365",0,0,0,NA,NA,"5ee5fe083b9587e7c3bb6c1932655517",1,0,1728893778,"2024-10-14 08:16:18","2024-10-14 08:18:04","0000-00-00 00:00:00",4,106,27,14,32,35,52,41,54,62,81,89,71,78,66,84,75,96,98,0,7113507,7113514,7113511,7113516,7113513,7113508,7113515,7113510
"14",26,0,0,31,7101365,NA,191,1,289405475764307,0,1,6,2,6,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,5,7,6,3,5,4,3,4,5,2,3,4,2,4,3,2,3,4,1,2,NA,5,NA,3,3,2,5,1,3,2,3,2,4,3,4,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,3,NA,8,2,32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113515,7113513,7113507,7113516,7113510,7113514,7113511,7113508,7113517,7113518,7101522,7101365",1,1,0,NA,NA,"84ff372f30ba1b0bddda7a985f081c8e",1,0,1728902380,"2024-10-14 10:39:40","2024-10-14 10:42:51","0000-00-00 00:00:00",3,191,35,22,42,49,77,63,80,127,167,143,161,121,156,104,135,174,177,0,7113515,7113513,7113507,7113516,7113510,7113514,7113511,7113508
"15",28,0,0,31,7101365,NA,586,3,289762377460801,0,1,1,9,8,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,4,5,4,3,1,3,4,3,2,2,4,3,5,4,3,4,4,3,3,NA,NA,2,NA,4,3,2,4,4,3,3,2,3,2,2,NA,NA,2,1,0,0,0,0,0,1,0,0,0,0,NA,1,NA,7,2,75,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0.1 Safari/605.1.15",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113515,7113513,7113510,7113508,7113511,7113514,7113507,7113516,7113517,7113518,7101522,7101365",1,0,0,NA,NA,"feddc7b5cf786fe833fc43d7d176e6ae",1,0,1728913113,"2024-10-14 13:38:33","2024-10-14 13:48:19","0000-00-00 00:00:00",6,586,158,82,208,214,323,260,341,517,478,470,506,437,512,395,525,547,553,0,7113515,7113513,7113510,7113508,7113511,7113514,7113507,7113516
"16",31,0,0,31,7101365,NA,415,2,289762377651345,0,1,7,1,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,6,4,2,2,1,4,7,3,4,1,1,7,7,7,7,7,7,2,5,NA,1,NA,1,1,1,2,2,1,4,1,1,1,1,1,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,1,NA,3,1,60,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36","https://deref-web.de/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113508,7113510,7113513,7113514,7113511,7113515,7113507,7113516,7113517,7113518,7101522,7101365",1,1,0,NA,NA,"3184621cff78bfe0c8c9ac91f239157e",1,0,1728913244,"2024-10-14 13:40:44","2024-10-14 13:47:39","0000-00-00 00:00:00",4,415,98,63,130,184,235,208,241,366,254,263,339,282,319,354,374,387,394,0,7113508,7113510,7113513,7113514,7113511,7113515,7113507,7113516
"17",32,0,0,31,7101365,NA,340,3,289762377435186,0,1,1,7,8,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,5,6,0,2,5,5,3,5,5,5,4,5,1,1,1,1,1,1,NA,NA,1,NA,5,3,4,2,5,2,4,1,4,3,4,NA,NA,3,2,0,1,0,0,0,1,0,0,0,0,NA,2,NA,6,2,64,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36","https://email.t-online.de/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113516,7113507,7113511,7113515,7113514,7113513,7113510,7113508,7113517,7113518,7101522,7101365",1,1,0,NA,NA,"03091381279588158b291b5b9c1ca1ae",1,0,1728913274,"2024-10-14 13:41:14","2024-10-14 13:46:54","0000-00-00 00:00:00",3,340,56,37,77,112,153,124,158,186,292,281,208,262,247,225,176,316,326,0,7113516,7113507,7113511,7113515,7113514,7113513,7113510,7113508
"18",33,0,0,31,7101365,NA,807,1,289762377956387,0,1,1,9,9,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,7,7,7,6,1,5,4,1,2,2,4,2,2,1,1,1,2,1,1,1,1,NA,6,NA,4,4,1,4,1,4,1,4,2,3,4,4,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,1,NA,8,2,66,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113515,7113508,7113514,7113511,7113510,7113513,7113507,7113516,7113517,7113518,7101522,7101365",1,1,0,NA,NA,"ee1f85662169b7e9419cae8b358173db",1,0,1728913289,"2024-10-14 13:41:29","2024-10-14 13:54:56","0000-00-00 00:00:00",5,807,93,46,141,271,370,332,380,668,463,605,573,637,494,430,697,722,733,0,7113515,7113508,7113514,7113511,7113510,7113513,7113507,7113516
"19",34,0,0,31,7101365,NA,224,2,289762377868532,0,1,8,1,9,3,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,4,2,1,2,1,1,3,6,2,2,2,7,7,7,7,6,7,2,5,NA,3,NA,1,1,3,1,3,1,1,4,1,1,4,3,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,6,NA,6,1,45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0","https://survey.maximiles.com/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113508,7113516,7113515,7113507,7113514,7113513,7113511,7113510,7113517,7113518,7101522,7101365",0,1,0,NA,NA,"d402fcccb049705eddf139e149204e5c",1,0,1728913526,"2024-10-14 13:45:26","2024-10-14 13:49:10","0000-00-00 00:00:00",3,224,48,26,67,79,122,100,126,166,137,197,191,183,176,150,144,207,210,0,7113508,7113516,7113515,7113507,7113514,7113513,7113511,7113510
"20",36,0,0,31,7101365,NA,839,3,289762377878777,0,1,1,9,9,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,6,6,3,2,2,2,4,4,4,4,4,4,2,4,2,4,2,1,NA,NA,1,NA,4,3,3,5,5,3,4,2,4,3,5,NA,NA,3,2,1,0,0,0,0,0,0,0,0,0,NA,6,NA,5,2,78,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36","https://deref-gmx.net/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7112144,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113514,7113515,7113511,7113516,7113507,7113508,7113510,7113513,7113517,7113518,7101522,7101365",0,0,0,NA,NA,"c3b4e412b3a45d98ccf2518ae3202793",1,0,1728913692,"2024-10-14 13:48:12","2024-10-14 14:02:11","0000-00-00 00:00:00",11,839,326,239,390,405,528,465,550,685,700,722,643,739,586,621,661,758,776,0,7113514,7113515,7113511,7113516,7113507,7113508,7113510,7113513
"21",37,0,0,31,7101365,NA,649,1,289762377651342,0,1,3,9,9,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,6,4,1,2,1,6,7,4,6,4,4,7,7,7,7,7,7,1,5,NA,1,NA,1,1,5,4,5,2,5,4,5,3,1,1,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,7,NA,7,1,74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0","https://email.t-online.de/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113511,7113510,7113507,7113516,7113514,7113515,7113508,7113513,7113517,7113518,7101522,7101365",0,1,0,NA,NA,"013b4deeecc78e5a2ec509425c4c2bb3",1,0,1728913716,"2024-10-14 13:48:36","2024-10-14 13:59:25","0000-00-00 00:00:00",9,649,103,41,138,147,246,203,251,365,497,337,282,573,410,431,386,607,615,0,7113511,7113510,7113507,7113516,7113514,7113515,7113508,7113513
"22",38,0,0,31,7101365,NA,433,1,289762377620607,0,1,2,5,7,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,5,4,2,0,3,5,5,5,4,5,5,4,4,4,4,4,4,2,4,NA,5,NA,2,2,1,3,2,3,2,2,1,3,2,2,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,2,NA,7,2,44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0","https://email.t-online.de/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113515,7113513,7113507,7113514,7113510,7113508,7113511,7113516,7113517,7113518,7101522,7101365",0,1,0,NA,NA,"3f033cfab2bf7dc52785c99ba14fae48",1,0,1728913755,"2024-10-14 13:49:15","2024-10-14 13:56:28","0000-00-00 00:00:00",5,433,120,83,153,161,228,190,240,314,336,330,360,295,322,258,368,381,397,0,7113515,7113513,7113507,7113514,7113510,7113508,7113511,7113516
